ID,identifier,companyname,countryofexchange,gicsindustryname,year,fv,esg,size,lev,lctat,lctlt,chlct,ch,cf,cheat,inventory,fixed,growth,ni,boardmeetings,female,ceo,g_score,e_score,gdpgrowth,gdppercapita,inf,climateriskscore,n_years
499,PDNI.KL,Padini Holdings Berhad,Malaysia,Specialty Retail,2022,1.379928,48.05,8.552855,0.2769316,0.1482385,0.394522,2.450837,0,-4.43E+07,0.3826614,0.2600246,0.3050478,30.46536,47736549,5,33.33,0,59.05,26.07,8.861822,4.069967,6.403485,0,3
499,PDNI.KL,Padini Holdings Berhad,Malaysia,Specialty Retail,2023,1.237451,46.07,8.588789,0.3009005,0.1474755,0.375654,2.932297,0,4.01E+07,0.4875602,0.1575584,0.3416213,4.191233,31091198,5,40,0,58.1,24.36,3.555487,4.056108,-1.872256,1.371277,3
499,PDNI.KL,Padini Holdings Berhad,Malaysia,Specialty Retail,2024,0.9997704,58.92,8.687726,0.3445949,0.1300205,0.3078367,2.740898,0,-1.43E+07,0.4631712,0.1887597,0.3993667,13.09416,36766508,5,50,0,75.07,48.7,5.114155,4.07435,0.7825099,1.408697,3
500,PESO.KL,Pesona Metro Holdings Bhd,Malaysia,Construction & Engineering,2022,0.4340768,44.35,8.112123,0.2890489,0.4412524,0.5952203,0.0955139,0,1370964,0.0904418,0,0.0922348,-44.01521,-677272.73,8,20,0,58.38,29.93,8.861822,4.069967,6.403485,1,3
500,PESO.KL,Pesona Metro Holdings Bhd,Malaysia,Construction & Engineering,2023,0.37607,44.83,8.153896,0.2481651,0.5400169,0.7103208,0.0698188,0,-1749621,0.0991299,0,0.0718859,34.16366,2699128.5,5,20,0,61.23,23.86,3.555487,4.056108,-1.872256,1,3
500,PESO.KL,Pesona Metro Holdings Bhd,Malaysia,Construction & Engineering,2024,0.3049143,44.31,8.244987,0.3002025,0.4911244,0.6303981,0.132745,0,5306979,0.15995,0.1274503,0.0553294,2.026845,4993460.2,6,40,0,75.37,18.59,5.114155,4.07435,0.7825099,1,3
501,PETR.KL,Petronas Dagangan Bhd,Malaysia,"Oil, Gas & Consumable Fuels",2022,2.105358,70.77,9.40799,0.0163724,0.4624309,0.9439763,0.5549853,0,2.20E+08,0.2847884,0.0123952,0.3655636,54.53151,1.79E+08,7,33.33,TRUE,66.7,55.26,8.861822,4.069967,6.403485,2.001782,3
501,PETR.KL,Petronas Dagangan Bhd,Malaysia,"Oil, Gas & Consumable Fuels",2023,2.072448,72.26,9.398393,0.0132515,0.4736046,0.9513367,0.2770177,0,-2.99E+08,0.1283291,0.012949,0.3583959,-2.051457,2.11E+08,5,30,TRUE,80.85,47.32,3.555487,4.056108,-1.872256,2.359437,3
501,PETR.KL,Petronas Dagangan Bhd,Malaysia,"Oil, Gas & Consumable Fuels",2024,2.149183,65.07,9.395823,0.0097126,0.4348093,0.9394293,0.4374074,0,1.27E+08,0.1890669,0.0151617,0.3594252,3.828777,2.50E+08,6,30,TRUE,54.75,46.41,5.114155,4.07435,0.7825099,1.870674,3
502,PGAS.KL,Petronas Gas Bhd,Malaysia,Gas Utilities,2022,1.998098,60.1,9.650758,0.1948224,0.0699143,0.2104637,0.0863327,0,5.54E+07,0.0069605,0.0021623,0.6810325,3.207246,4.00E+08,7,30,TRUE,55.86,55.75,8.861822,4.069967,6.403485,1.099763,3
502,PGAS.KL,Petronas Gas Bhd,Malaysia,Gas Utilities,2023,2.075043,63.68,9.624178,0.1631774,0.1237451,0.4147426,0.0389737,0,-1.09E+08,0.0300457,0.0020016,0.7055387,0.2993908,4.14E+08,6,37.5,TRUE,71.61,52.33,3.555487,4.056108,-1.872256,1.158611,3
502,PGAS.KL,Petronas Gas Bhd,Malaysia,Gas Utilities,2024,2.080699,55.37,9.622996,0.0985036,0.0810594,0.3163061,0.0635524,0,-2.09E+08,0.0604043,0.0019188,0.7419956,4.209974,4.31E+08,5,33.33,TRUE,46.72,46.49,5.114155,4.07435,0.7825099,1.176722,3
503,PGFC.KL,PGF Capital Bhd,Malaysia,Building Products,2022,1.304402,8.11,7.809745,0.1198633,0.1342102,0.44546,0,0.066462,-607502.8,0.0679733,0.099811,0.2143404,48.1028,3628107,4,0,0,12.12,7.22,8.861822,4.069967,6.403485,1.934612,3
503,PGFC.KL,PGF Capital Bhd,Malaysia,Building Products,2023,1.258738,12,7.824292,0.1494132,0.1168735,0.3535518,0,0.0824979,1247794,0.0853081,0.0896467,0.2511314,33.54101,2205014.8,5,16.67,0,13.04,14.58,3.555487,4.056108,-1.872256,1,3
503,PGFC.KL,PGF Capital Bhd,Malaysia,Building Products,2024,0.9104134,26.89,7.967362,0.2035729,0.1106807,0.3032652,0,0.09162,2697612,0.1273681,0.0802657,0.2883945,28.11597,7609096.4,5,33.33,TRUE,16.87,36.83,5.114155,4.07435,0.7825099,1.687866,3
504,PIEN.KL,PIE Industrial Bhd,Malaysia,Electrical Equipment,2022,1.502186,33.7,8.314089,0.1164113,0.3679198,0.9632127,0.130464,0.0066162,-3434143,0.0740372,0.3173556,0.2059378,7.566577,15916032,5,16.67,0,50.42,19.48,8.861822,4.069967,6.403485,0,3
504,PIEN.KL,PIE Industrial Bhd,Malaysia,Electrical Equipment,2023,1.556054,31.98,8.296576,0.0743309,0.3159344,0.9574088,0.1182094,0.0165083,-75586.06,0.0681086,0.3055732,0.2296318,0.1085285,16028704,5,16.67,0,42.66,20.5,3.555487,4.056108,-1.872256,1.675054,3
