"",Identifier,Company Name,Country of Exchange,GICS Industry Name,year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF,ClimateRiskScore
410,DUOP.KL,Duopharma Biotech Bhd,Malaysia,Pharmaceuticals,2024,1.014125514,62.05,8.489083418,0.372371688,0.129177484,0.266173258,0.580369132,0.093442384,-1333258.73,0.202038067,0.180390512,0.411893894,18.61517601,14020814.68,10,50.0,0,95.79,24.1,5.114155478,4.074350408,0.782509892,2.6980609042574626
410,DUOP.KL,Duopharma Biotech Bhd,Malaysia,Pharmaceuticals,2023,1.028194563,61.87,8.466953188,0.406927186,0.123948897,0.253381397,0.592857828,0.120281607,24589324.62,0.212211079,0.180701565,0.432941675,-3.037345993,11469498.91,12,40.0,0,93.72,23.51,3.555487154,4.056107349,-1.872255625,2.318863904493898
410,DUOP.KL,Duopharma Biotech Bhd,Malaysia,Pharmaceuticals,2022,1.095582257,57.87,8.443589741,0.35164524,0.216537266,0.466900301,0.254116731,0.064275946,4467500.0,0.128148743,0.192466931,0.474596925,3.156042346,15934545.45,17,40.0,0,78.88,19.74,8.861821876,4.069967336,6.403485118,1.9131590467019863
411,ECOW.KL,Eco World Development Group Bhd,Malaysia,Real Estate Management & Development,2024,0.741759781,72.73,9.309542618,0.255715634,0.230913996,0.511350385,0.272095694,0.0,31550171.43,0.16586164,0.130793423,0.014651245,10.3781047,69380342.86,7,36.36,TRUE,67.72,79.51,5.114155478,4.074350408,0.782509892,1.6662951785210165
411,ECOW.KL,Eco World Development Group Bhd,Malaysia,Real Estate Management & Development,2023,0.820617406,79.45,9.271739324,0.286240249,0.23045234,0.496857349,0.236574789,0.0,-117609197.8,0.141116856,0.111171454,0.016208306,8.145415132,39757034.86,6,33.33,TRUE,79.43,83.51,3.555487154,4.056107349,-1.872255625,1.5688206151857709
411,ECOW.KL,Eco World Development Group Bhd,Malaysia,Real Estate Management & Development,2022,0.758698476,65.88,9.298621477,0.299557774,0.271939735,0.548384287,0.424948135,0.0,101719847.7,0.118215199,0.101879459,0.015956423,-12.38622478,33264705.88,9,30.77,TRUE,56.66,60.38,8.861821876,4.069967336,6.403485118,1.8779466887847336
412,EKOV.KL,Ekovest Bhd,Malaysia,Construction & Engineering,2024,0.110875572,28.77,9.388015189,0.580595404,0.159130776,0.198726351,0.039256038,0.018209423,-5941463.41,0.041934166,0.016558723,0.066327245,1.600421648,-25070625.66,6,33.33,0,69.33,7.02,5.114155478,4.074350408,0.782509892,1.3399648515029698
412,EKOV.KL,Ekovest Bhd,Malaysia,Construction & Engineering,2023,0.111001016,26.26,9.387524109,0.600595725,0.128467731,0.161080306,0.058222566,0.027476348,-917041.8,0.056809958,0.019086572,0.074914369,30.47599306,-23434941.05,7,37.5,0,70.14,4.36,3.555487154,4.056107349,-1.872255625,1.6606421470599724
412,EKOV.KL,Ekovest Bhd,Malaysia,Construction & Engineering,2022,0.107932898,17.58,9.406229635,0.611252211,0.125938908,0.160328915,0.055497012,0.015146782,-27028824.33,0.077664451,0.028921548,0.075809264,-43.7713669,-28017703.13,9,33.33,0,48.86,0.0,8.861821876,4.069967336,6.403485118,1.917979766765392
414,ELSR.KL,Elsoft Research Bhd,Malaysia,Semiconductors & Semiconductor Equipment,2024,1.907388708,17.5,7.406135712,0.0,0.033145114,0.781961685,1.112702897,0.0,-1203265.44,0.561858244,0.023348222,0.158381853,-11.23923817,494039.84,5,22.22,TRUE,31.38,1.42,5.114155478,4.074350408,0.782509892,1.3790036156455896
414,ELSR.KL,Elsoft Research Bhd,Malaysia,Semiconductors & Semiconductor Equipment,2023,1.561780026,14.72,7.485531037,0.0,0.032483088,0.762332545,2.073680261,0.0,-380274.51,0.619597633,0.02234059,0.133058803,-45.1587279,1530324.62,4,25.0,TRUE,31.28,1.77,3.555487154,4.056107349,-1.872255625,0.0
414,ELSR.KL,Elsoft Research Bhd,Malaysia,Semiconductors & Semiconductor Equipment,2022,1.391388203,13.08,7.536631115,0.0,0.076002741,0.923418328,0.973624375,0.0,-372154.55,0.576428915,0.024063494,0.127004248,-8.887696051,9765704.55,5,28.57,TRUE,24.68,0.26,8.861821876,4.069967336,6.403485118,1.0
415,ENOB.KL,Eastern & Oriental Bhd,Malaysia,Real Estate Management & Development,2024,0.486402229,54.97,9.013514086,0.380949144,0.146896676,0.297522088,0.204403358,0.0,-41597745.21,0.073350662,0.125151497,0.049618211,86.62886471,40971138.67,5,16.67,0,38.07,72.87,5.114155478,4.074350408,0.782509892,1.6911741701490972
