path_to_file,year,company_name,Identifier,ClimateRiskScore,Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
Dương/101. LAUL/LAUL 2024,2024,Laurus Labs Ltd,LAUL.NS,1.689867490988298,231.0,LAUL.NS,Laurus Labs Ltd,India,Pharmaceuticals,2024.0,4.8989766,37.5957866,9.0384288,0.296043,0.3791649,0.7278866,0.0257393,0.000903,-4610883.557636,0.0115767,0.2074367,0.4623135,7.4717284,41475716.7934465,8.0,12.5,1,20.7510096,36.7204569,6.4842236,3.4308268,3.2018101
Dương/104. LTEH/LTEH 2018,2018,L&T Technology Services Ltd,LTEH.NS,1.0,234.0,LTEH.NS,L&T Technology Services Ltd,India,Professional Services,2018.0,10.3890376,0.0,8.6869142,0.0208662,0.2564278,0.974582,0.1677292,0.017864,7444348.077479,0.2713456,0.0029427,0.0428915,27.5528619,111072564.324949,0.0,0.0,0,0.0,0.0,6.4538513,3.2936397,3.8842403
Dương/100. CROP/CROP 2024,2024,Crompton Greaves Consumer Electricals Ltd,CROP.NS,2.212392240887974,82.0,CROP.NS,Crompton Greaves Consumer Electricals Ltd,India,Household Durables,2024.0,3.2237627,68.1169122,8.8696765,0.0756093,0.3393041,0.730604,0.0529305,0.0142185,3700409.5962551,0.1707830,0.1424773,0.0956968,4.8885061,66012873.0251609,8.0,22.2222222,1,74.9538654,57.8409311,6.4842236,3.4308268,3.2018101
Dương/103. VARB/VARB 2022,2022,Varun Beverages Ltd,VARB.NS,3.0573030506983816,352.0,VARB.NS,Varun Beverages Ltd,India,Beverages,2022.0,14.2440596,42.0883386,9.1475457,0.3342858,0.3415967,0.6090911,0.0252926,0.0046437,433042.7844337,0.0145002,0.1935259,0.5993773,34.5682461,187399688.093137,4.0,20.0,1,51.3059649,52.2242077,7.609365,3.370596,5.8971419
Dương/104. LTEH/LTEH 2019,2019,L&T Technology Services Ltd,LTEH.NS,1.837239256857481,234.0,LTEH.NS,L&T Technology Services Ltd,India,Professional Services,2019.0,8.8951533,0.0,8.7568164,0.0990867,0.2413961,0.676875,0.2061995,0.0008598,1314165.1069253,0.2332998,0.0054144,0.1318988,1.6116966,109168624.639932,0.0,0.0,0,0.0,0.0,3.8714369,3.3099342,2.4055172
Dương/103. VARB/VARB 2023,2023,Varun Beverages Ltd,VARB.NS,2.771161335233277,352.0,VARB.NS,Varun Beverages Ltd,India,Beverages,2023.0,10.9138388,57.6017508,9.2614061,0.3576246,0.2734682,0.5033778,0.0435511,0.0040386,10563769.6838562,0.0207290,0.1549641,0.6426512,21.1918505,252652121.649237,6.0,20.0,1,75.0856089,61.1308501,9.1907549,3.4031412,2.5919495
Dương/104. LTEH/LTEH 2020,2020,L&T Technology Services Ltd,LTEH.NS,2.235043218181749,234.0,LTEH.NS,L&T Technology Services Ltd,India,Professional Services,2020.0,7.4353407,44.8180465,8.8411192,0.094719,0.2164837,0.6864608,0.1420506,0.0037651,-4867577.2864624,0.4182528,0.0022669,0.1257466,-0.1026529,91130344.4221119,5.0,10.0,1,34.5727935,40.841273,-5.7777247,3.2803604,4.8148579
Dương/104. LTEH/LTEH 2021,2021,L&T Technology Services Ltd,LTEH.NS,1.819429341454736,234.0,LTEH.NS,L&T Technology Services Ltd,India,Professional Services,2021.0,6.4913839,62.5375444,8.9044388,0.0783287,0.2263832,0.7150117,0.1326420,0.0085044,7865467.5671332,0.3923723,0.0037596,0.1066492,16.1609883,126558930.401811,5.0,10.0,1,53.0999152,60.7832381,9.6895925,3.3501731,8.3549077
Dương/105. SHEF/SHEF 2018,2018,Sheela Foam Ltd,SHEF.NS,1.3790036156455896,315.0,SHEF.NS,Sheela Foam Ltd,India,Household Durables,2018.0,5.0623309,0.0,8.2251507,0.0262914,0.2943858,0.7922629,0.0477792,0.0004304,-19487930.0375831,0.2591503,0.1705433,0.2929517,0.5496621,19332234.7499277,0.0,0.0,0,0.0,0.0,6.4538513,3.2936397,3.8842403
Dương/104. LTEH/LTEH 2022,2022,L&T Technology Services Ltd,LTEH.NS,2.6150162648206265,234.0,LTEH.NS,L&T Technology Services Ltd,India,Professional Services,2022.0,5.1988162,64.5870655,8.9990263,0.0554065,0.4037889,0.879714,0.0916891,0.0281912,35272638.7536514,0.4244192,0.0039768,0.0816336,23.9626259,148052580.331061,6.0,10.0,1,62.5111119,58.9505461,7.609365,3.370596,5.8971419
Dương/103. VARB/VARB 2024,2024,Varun Beverages Ltd,VARB.NS,3.407997029873604,352.0,VARB.NS,Varun Beverages Ltd,India,Beverages,2024.0,7.256752,61.2273475,9.4321964,0.1221165,0.195491,0.6924348,0.0488442,0.0883728,236584028.800524,0.1451001,0.1461307,0.5682871,22.0226567,307909039.904622,5.0,20.0,0,82.1434598,56.3669687,6.4842236,3.4308268,3.2018101
Dương/105. SHEF/SHEF 2019,2019,Sheela Foam Ltd,SHEF.NS,1.3790036156455896,315.0,SHEF.NS,Sheela Foam Ltd,India,Household Durables,2019.0,4.0125158,0.0,8.338886,0.1886613,0.2340262,0.5312663,0.0626627,0.0121663,3619369.9972124,0.2086428,0.1456729,0.3376586,-6.7875557,25790317.6562728,0.0,0.0,0,0.0,0.0,3.8714369,3.3099342,2.4055172
Dương/105. SHEF/SHEF 2020,2020,Sheela Foam Ltd,SHEF.NS,1.6410934398854131,315.0,SHEF.NS,Sheela Foam Ltd,India,Household Durables,2020.0,3.0892676,0.0,8.4530593,0.1682037,0.260939,0.6075528,0.0615929,0.0115615,1812488.890712,0.1031578,0.1609762,0.2923664,15.4049467,32835828.6503411,0.0,0.0,0,0.0,0.0,-5.7777247,3.2803604,4.8148579
Dương/105. SHEF/SHEF 2021,2021,Sheela Foam Ltd,SHEF.NS,1.3790036156455896,315.0,SHEF.NS,Sheela Foam Ltd,India,Household Durables,2021.0,2.7862146,0.0,8.4949473,0.1967774,0.2354662,0.5700999,0.0726835,8.83e-05,-2180499.9644275,0.0605803,0.1465655,0.2928301,17.9789065,28817386.7675695,0.0,0.0,0,0.0,0.0,9.6895925,3.3501731,8.3549077
Dương/104. LTEH/LTEH 2023,2023,L&T Technology Services Ltd,LTEH.NS,2.20578380096649,234.0,LTEH.NS,L&T Technology Services Ltd,India,Professional Services,2023.0,5.2000344,59.1036881,9.0079253,0.0776109,0.2988867,0.8025242,0.3061369,0.0406903,72177564.4871026,0.3226783,0.0038169,0.1179125,7.8732245,156724655.068986,5.0,16.6666667,1,42.9609543,60.1655437,9.1907549,3.4031412,2.5919495
