Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2021,2.3451000,53.0087997,10.1273281,0.4139207,0.4309129,0.5515440,0.0185253,0.0009817,32421009.3621462,0.0233662,0.0667086,0.3964118,69.1873742,62629938.3147083,4.0000000,12.5000000,TRUE,46.8801619,41.3584184,9.6895925,3.3501731,8.3549077
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2020,4.4849956,52.8607755,9.8488731,0.3132445,0.4159934,0.6229819,0.0236549,0.0030589,-199425735.2639570,0.0269285,0.0340229,0.2775553,-6.1708212,102044109.0009160,5.0000000,12.5000000,TRUE,43.7493687,36.2197160,-5.7777247,3.2803604,4.8148579
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2019,5.0873264,39.9947468,9.7941724,0.2744286,0.4965820,0.7775455,0.0683502,0.0113627,152763065.3232980,0.0619561,0.0546367,0.2916496,-1.2905485,105929672.2551870,5.0000000,12.5000000,TRUE,35.0726768,24.4250541,3.8714369,3.3099342,2.4055172
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2018,5.0182563,29.4960385,9.7887779,0.2734543,0.5291799,0.8102626,0.0195915,0.0125279,-62963284.1861810,0.0233991,0.0627424,0.2706052,5.7877352,32292570.1069673,6.0000000,9.0909091,TRUE,26.2537503,22.9499072,6.4538513,3.2936397,3.8842403
6,ADEN.NS,Advanced Enzyme Technologies Ltd,India,Chemicals,2024,2.0315177,53.2113275,8.2781639,0.0242699,0.0596757,0.5139844,0.2839647,0.0411695,-2285078.9935635,0.3780163,0.0981301,0.1940559,-0.4184470,15678642.4809830,5.0000000,20.0000000,0.0000000,82.4677560,42.6920357,6.4842236,3.4308268,3.2018101
6,ADEN.NS,Advanced Enzyme Technologies Ltd,India,Chemicals,2023,2.1447091,49.6478529,8.2653338,0.0308103,0.0692671,0.5341996,0.3949246,0.0467273,2079304.1391722,0.3798922,0.0992775,0.2001123,13.7474768,16430833.8332334,5.0000000,22.2222222,0.0000000,88.4763829,33.5331582,9.1907549,3.4031412,2.5919495
6,ADEN.NS,Advanced Enzyme Technologies Ltd,India,Chemicals,2022,2.2676077,0.0000000,8.2381924,0.0235602,0.0545530,0.4428395,0.7742052,0.0259121,-20805136.3193768,0.3532867,0.0901124,0.2031316,-5.6536442,12641918.2083739,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,7.6093650,3.3705960,5.8971419
6,ADEN.NS,Advanced Enzyme Technologies Ltd,India,Chemicals,2021,2.3958803,0.0000000,8.2227355,0.0272600,0.0476661,0.3548849,3.0677733,0.0648157,9938683.6079440,0.3151240,0.0977644,0.2144257,1.6462138,16310502.8365748,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9.6895925,3.3501731,8.3549077
6,ADEN.NS,Advanced Enzyme Technologies Ltd,India,Chemicals,2020,2.5267567,0.0000000,8.1988857,0.0240345,0.0584307,0.3647082,1.7473948,0.0638936,14938403.2705744,0.3394033,0.0828985,0.2171215,16.4246617,20709627.1381107,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-5.7777247,3.2803604,4.8148579
6,ADEN.NS,Advanced Enzyme Technologies Ltd,India,Chemicals,2019,3.1332491,0.0000000,8.1136226,0.0325831,0.0608488,0.4285406,0.8425110,0.0332054,7911804.9194908,0.2353750,0.0833727,0.2190177,-2.8286119,17661449.8294240,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
