folder_path,folder_name,company_name,company_code,similarity_score,status
Thái/LLBM.KL,LLBM.KL,Lion Industries Corporation Bhd,LLBM.KL,1.0,matched
Vân/Thong Guan Industries Bhd,Thong Guan Industries Bhd,Thong Guan Industries Bhd,TGIB.KL,1.0000000000000002,matched
Vân/Wesizwe,Wesizwe,Wesizwe Platinum Ltd,WEZJ.J,0.4494364165239821,matched
Dương/54. APLA,54. APLA,APL Apollo Tubes Ltd,APLA.NS,1.0,matched
Thái/MAGM.KL,MAGM.KL,Magnum Bhd,MAGM.KL,1.0,matched
Vân/International Container Terminal Services Inc,International Container Terminal Services Inc,International Container Terminal Services Inc,ICT.PS,1.0000000000000002,matched
Vân/RCL Foods Ltd,RCL Foods Ltd,RCL Foods Ltd,RCLJ.J,1.0,matched
Dương/160.ARVF.NS,160.ARVF.NS,Arvind Fashions Ltd,ARVF.NS,1.0,matched
Dương/131. AMBE,131. AMBE,Amber Enterprises India Ltd,AMBE.NS,1.0,matched
Thái/IJMS.KL,IJMS.KL,IJM Corporation Bhd,IJMS.KL,1.0,matched
Dương/125. DIXO,125. DIXO,Dixon Technologies (India) Ltd,DIXO.NS,1.0,matched
Giang/DWAR.NS,DWAR.NS,Dwarikesh Sugar Industries Ltd,DWAR.NS,1.0,matched
Giang/MRCO.NS,MRCO.NS,Marico Ltd,MRCO.NS,1.0,matched
Vân/Ranhill Utilities Bhd,Ranhill Utilities Bhd,Ranhill Utilities Bhd,RANH.KL,1.0000000000000002,matched
Thái/PRMS.KL,PRMS.KL,Paramount Corporation Bhd,PRMS.KL,1.0,matched
Dương/92. GINF,92. GINF,G R Infraprojects Ltd,GINF.NS,1.0,matched
Dương/154.HERN.NS,154.HERN.NS,Heranba Industries Ltd,HERN.NS,1.0,matched
Vân/Uchi Technologies Bhd,Uchi Technologies Bhd,Uchi Technologies Bhd,UCHI.KL,1.0000000000000002,matched
Giang/PFIZ.NS,PFIZ.NS,Pfizer Ltd,PFIZ.NS,1.0,matched
Dương/120. MISR,120. MISR,Mishra Dhatu Nigam Ltd,MISR.NS,1.0,matched
Dương/TRIE.NS,TRIE.NS,Trident Ltd,TRIE.NS,1.0,matched
Thái/KREJ.KL,KREJ.KL,Kerjaya Prospek Group Bhd,KREJ.KL,1.0,matched
Vân/GT Capital Holdings Inc,GT Capital Holdings Inc,GT Capital Holdings Inc,GTCAP.PS,1.0,matched
Giang/ESAB.NS,ESAB.NS,ESAB India Ltd,ESAB.NS,1.0,matched
Giang/EPLI.NS,EPLI.NS,EPL Ltd,EPLI.NS,1.0,matched
Thái/CNON.KL,CNON.KL,Can-One Bhd,CNON.KL,1.0,matched
Thái/PIEN.KL,PIEN.KL,PIE Industrial Bhd,PIEN.KL,1.0,matched
Thái/CITR.KL,CITR.KL,Citra Nusa Holdings Bhd,CITR.KL,1.0,matched
Dương/INIR.NS,INIR.NS,Indian Railway Catering and Tourism Corporation Ltd,INIR.NS,1.0,matched
Giang/GAIL.NS,GAIL.NS,Gail (India) Ltd,GAIL.NS,1.0,matched
Vân/Scicom,Scicom,Scicom (MSC) Bhd,SCCM.KL,0.3032160644503863,matched
Thái/MSCB.KL,MSCB.KL,Malaysia Smelting Corporation Bhd,MSCB.KL,1.0,matched
Dương/3. MWG,3. MWG,Mobile World Investment Corp,MWG.HM,1.0,matched
Giang/ARBN.NS,ARBN.NS,Aurobindo Pharma Ltd,ARBN.NS,1.0,matched
Dương/206 + SONB.NS,206 + SONB.NS,Sona BLW Precision Forgings Ltd,SONB.NS,1.0,matched
Dương/14. HBC,14. HBC,Hoa Binh Construction Group JSC,HBC.HNO,1.0,matched
Thái/DUOP.KL,DUOP.KL,Duopharma Biotech Bhd,DUOP.KL,1.0,matched
Giang/ELGE.NS,ELGE.NS,Elgi Equipments Ltd,ELGE.NS,1.0,matched
Dương/221 + SPRL.NS,221 + SPRL.NS,Supriya Lifescience Ltd,SPRL.NS,1.0,matched
Giang/TIME.NS,TIME.NS,Time Technoplast Ltd,TIME.NS,1.0,matched
Giang/BRIT.NS,BRIT.NS,Britannia Industries Ltd,BRIT.NS,1.0,matched
Thái/SPOR.KL,SPOR.KL,Sports Toto Bhd,SPOR.KL,1.0,matched
Giang/JAIR.NS,JAIR.NS,Jain Irrigation Systems Ltd,JAIR.NS,1.0,matched
Dương/185.ROSB.NS,185.ROSB.NS,Rossari Biotech Ltd,ROSB.NS,1.0,matched
Giang/LMVL.NS,LMVL.NS,LMW Ltd,LMVL.NS,1.0,matched
Giang/JAYN.NS,JAYN.NS,Jayaswal Neco Industries Ltd,JAYN.NS,1.0,matched
Dương/45. RLXO,45. RLXO,Relaxo Footwears Ltd,RLXO.NS,1.0,matched
Giang/HVEL.NS,HVEL.NS,Havells India Ltd,HVEL.NS,1.0,matched
Dương/100. CROP,100. CROP,Crompton Greaves Consumer Electricals Ltd,CROP.NS,1.0,matched
Dương/36. MOIL,36. MOIL,Moil Ltd,MOIL.NS,1.0,matched
Giang/CCRI.NS,CCRI.NS,Container Corporation of India Ltd,CCRI.NS,1.0,matched
Giang/JSTL.NS,JSTL.NS,JSW Steel Ltd,JSTL.NS,1.0,matched
Giang/NAAL.NS,NAAL.NS,Nava Limited,NAAL.NS,1.0,matched
Vân/Sern Kou Resourse Bhd,Sern Kou Resourse Bhd,Sern Kou Resources Bhd,SKOU.KL,0.28825378403927715,unmatched
Giang/BRSN.NS,BRSN.NS,Bharat Rasayan Ltd,BRSN.NS,1.0,matched
Dương/13. FPT,13. FPT,FPT Corp,FPT.HM,1.0,matched
Dương/90. DLPA,90. DLPA,Dr. Lal PathLabs Ltd,DLPA.NS,1.0,matched
Giang/OLEC.NS,OLEC.NS,Olectra Greentech Ltd,OLEC.NS,1.0,matched
Vân/TRC Synergy Bhd,TRC Synergy Bhd,Ramco Cements Limited,TRCE.NS,1.0,matched
Vân/Superlon,Superlon,Superlon Holdings Bhd,SPLH.KL,0.3032160644503863,matched
Thái/MAHS.KL,MAHS.KL,Mah Sing Group Bhd,MAHS.KL,1.0,matched
Dương/147.FINO.NS,147.FINO.NS,Fine Organic Industries Ltd,FINO.NS,1.0,matched
Giang/APAR.NS,APAR.NS,Apar Industries Ltd,APAR.NS,1.0,matched
Giang/HFCL.NS,HFCL.NS,HFCL Ltd,HFCL.NS,1.0,matched
Thái/PRKN.KL,PRKN.KL,Parkson Holdings Bhd,PRKN.KL,1.0,matched
Dương/236 + TMIN.NS,236 + TMIN.NS,3M India Ltd,TMIN.NS,1.0,matched
Giang/MMFO.NS,MMFO.NS,MM Forgings Ltd,MMFO.NS,1.0,matched
Vân/Samchem Holdings Bhd,Samchem Holdings Bhd,Samchem Holdings Bhd,SAHB.KL,1.0000000000000002,matched
Vân/Universal Robina Corp,Universal Robina Corp,Universal Robina Corp,URC.PS,1.0000000000000002,matched
Vân/YSP Southeast Asia Holding Bhd,YSP Southeast Asia Holding Bhd,YSP Southeast Asia Holding Bhd,YSPS.KL,1.0,matched
Vân/Tiong Nam Logistics Holdings Bhd,Tiong Nam Logistics Holdings Bhd,Tiong Nam Logistics Holdings Bhd,TNTT.KL,1.0000000000000002,matched
Thái/PPHB.KL,PPHB.KL,Public Packages Holdings Bhd,PPHB.KL,1.0,matched
Giang/ELCN.NS,ELCN.NS,Elecon Engineering Company Ltd,ELCN.NS,1.0,matched
Giang/NALU.NS,NALU.NS,National Aluminium Co Ltd,NALU.NS,1.0,matched
Giang/SOFT.NS,SOFT.NS,Sonata Software Ltd,SOFT.NS,1.0,matched
Dương/TATE.NS,TATE.NS,Tata Technologies Ltd,TATE.NS,1.0,matched
Giang/ASPN.NS,ASPN.NS,Asian Paints Ltd,ASPN.NS,1.0,matched
Vân/Rohas Tecnic Bhd,Rohas Tecnic Bhd,Rohas Tecnic Bhd,ROHA.KL,1.0000000000000002,matched
Thái/PMAS.KL,PMAS.KL,Pentamaster Corporation Bhd,PMAS.KL,1.0,matched
Thái/PDNI.KL,PDNI.KL,Padini Holdings Berhad,PDNI.KL,1.0,matched
