Rank,Company Name,HQ,Industry Group,Mkt. Cap (M),ESG Score
743,Hapvida Participacoes e Investimentos SA,BR,Healthcare Providers & Services,"$3,247",37.36
744,Randoncorp SA,BR,Automobiles & Auto Parts,$414,37.23
745,Pepkor Holdings Ltd,ZA,Diversified Retail,"$5,497",37.18
746,CK Power PCL,TH,Electric Utilities & IPPs,$728,36.99
747,National Aluminium Co Ltd,IN,Metals & Mining,"$3,983",36.91
748,Lippo Karawaci Tbk PT,ID,Real Estate Operations,$396,36.87
749,Canara Bank Ltd,IN,Banking Services,"$11,287",36.80
750,Embassy Developments Ltd,IN,Real Estate Operations,"$1,461",36.78
751,Porto Seguro SA,BR,Insurance,"$6,589",36.77
751,Astra Agro Lestari Tbk PT,ID,Food & Tobacco,$845,36.77
751,Robinsons Land Corp,PH,Real Estate Operations,"$1,264",36.77
754,City Union Bank Ltd,IN,Banking Services,"$1,783",36.63
755,Aboitiz Equity Ventures Inc,PH,Electric Utilities & IPPs,"$3,026",36.52
756,Adi Sarana Armada Tbk PT,ID,Passenger Transportation Services,$205,36.41
757,Puregold Price Club Inc,PH,Food & Drug Retailing,"$2,126",36.23
758,Enea SA,PL,Electric Utilities & IPPs,"$2,753",36.21
759,Housing Bank for Trade and Finance PSC,JO,Banking Services,"$1,740",36.16
760,Oberoi Realty Ltd,IN,Real Estate Operations,"$6,753",36.00
761,Netas Telekomunikasyon AS,TR,Software & IT Services,$86,35.98
762,Wockhardt Ltd,IN,Pharmaceuticals,"$2,786",35.95
763,Interlink Telecom PCL,TH,Telecommunications Services,$61,35.78
764,Parkson Holdings Bhd,MY,Diversified Retail,$58,35.76
765,Jaiprakash Associates Ltd,IN,Consumer Goods Conglomerates,$119,35.66
766,Sarana Menara Nusantara Tbk PT,ID,Telecommunications Services,"$2,341",35.54
767,G Capital PCL,TH,Banking Services,$5,35.53
768,Super Group Ltd,ZA,Specialty Retailers,$278,35.50
769,Famous Brands Ltd,ZA,Hotels & Entertainment Services,$336,35.46
770,Bank of Baroda Ltd,IN,Banking Services,"$14,277",35.43
771,Alliance Global Group Inc,PH,Consumer Goods Conglomerates,"$1,162",35.41
772,Bangchak Sriracha PCL,TH,Oil & Gas,$517,35.29
773,Grupo Aval Acciones y Valores SA,CO,Banking Services,"$3,664",35.23
774,Resilient Reit Ltd,ZA,Residential & Commercial REITs,"$1,350",35.20
775,Bamboo Capital Group JSC,VN,Construction & Engineering,$127,35.16
776,Summarecon Agung Tbk PT,ID,Real Estate Operations,$464,35.04
777,Jordan Ahli Bank PSC,JO,Banking Services,$303,34.94
778,SLC Agricola SA,BR,Food & Tobacco,"$1,422",34.90
779,BCPG PCL,TH,Electric Utilities & IPPs,$768,34.73
780,Tupy SA,BR,Automobiles & Auto Parts,$437,34.63
781,Project Planning Service PCL,TH,Construction & Engineering,$6,34.53
782,Wesizwe Platinum Ltd,ZA,Metals & Mining,$42,34.51
783,Inversiones Centenario SAA,PE,Homebuilding & Construction Supplies,$155,34.43
784,Log Commercial Properties e Participacoes SA,BR,Real Estate Operations,$337,34.32
785,Jaymart Group Holdings PCL,TH,Specialty Retailers,$407,34.27
786,Acen Corp,PH,Electric Utilities & IPPs,"$1,639",34.24
787,QL Resources Bhd,MY,Food & Tobacco,"$3,635",34.03
788,Danaos Corp,GR,Freight & Logistics Services,"$1,721",33.90
789,Crown Seal PCL,TH,Containers & Packaging,$72,33.70
790,Absolute Clean Energy PCL,TH,Electric Utilities & IPPs,$412,33.67
791,Tauron Polska Energia SA,PL,Multiline Utilities,"$4,001",33.57
792,Muthoot Finance Ltd,IN,Banking Services,"$11,505",33.54
793,Qualicorp Consultoria e Corretora de Seguros SA,BR,Insurance,$91,33.49
793,Polimex Mostostal SA,PL,Construction & Engineering,$311,33.49
795,PI Industries Ltd,IN,Chemicals,"$6,535",33.25
796,Bandhan Bank Ltd,IN,Banking Services,"$3,048",33.03
797,Banco do Estado do Rio Grande do Sul SA,BR,Banking Services,$873,33.01
798,Supermax Corporation Bhd,MY,Healthcare Equipment & Supplies,$402,32.98
799,El Puerto de Liverpool SAB de CV,MX,Diversified Retail,"$7,222",32.93
800,Desarrolladora Homex SAB de CV,MX,Real Estate Operations,$0,32.88
801,PPC Ltd,ZA,Construction Materials,$450,32.84
802,Sociedad Minera el Brocal SAA,PE,Metals & Mining,$493,32.76
803,Bank Dhofar SAOG,OM,Banking Services,"$1,027",32.61
804,Power Finance Corporation Ltd,IN,Banking Services,"$15,740",32.60
805,Federal Bank Ltd,IN,Banking Services,"$5,506",32.59
806,Brait plc,MU,Investment Holding Companies,$468,32.56
807,TTW PCL,TH,Water & Related Utilities,"$1,115",32.55
808,Impulsora del Desarrollo y el Empleo en America Latina SAB de CV,MX,Transport Infrastructure,"$5,646",32.51
809,Samvardhana Motherson International Ltd,IN,Automobiles & Auto Parts,"$11,254",32.46
810,Sammaan Capital Ltd,IN,Banking Services,"$1,124",32.23
811,Robinsons Retail Holdings Inc,PH,Food & Drug Retailing,$744,32.14
811,Magazine Luiza SA,BR,Diversified Retail,$921,32.14
813,Valid Solucoes SA,BR,Professional & Commercial Services,$315,32.09
814,Reliance Infrastructure Ltd,IN,Electric Utilities & IPPs,"$1,200",32.01
815,Zee Entertainment Enterprises Ltd,IN,Media & Publishing,"$1,282",31.91
815,Cosan SA,BR,Consumer Goods Conglomerates,"$1,998",31.91
817,Minera Frisco SAB de CV,MX,Metals & Mining,"$1,182",31.90
818,Aeon Thana Sinsap Thailand PCL,TH,Banking Services,$830,31.88
819,Reliance Communications Ltd,IN,Telecommunications Services,$58,31.84
820,Unifin Financiera SAB de CV,MX,Banking Services,$36,31.59
821,Cholamandalam Investment and Finance Company Ltd,IN,Banking Services,"$14,027",31.58
822,Cyrela Brazil Realty SA Empreendimentos e Participacoes,BR,Real Estate Operations,"$1,758",31.51
823,Petkim Petrokimya Holding AS,TR,Chemicals,"$1,115",31.12
824,Boryszew SA,PL,Metals & Mining,$394,31.08
825,Constructora Conconcreto SA,CO,Construction & Engineering,$130,31.05
826,Avenue Supermarts Ltd,IN,Food & Drug Retailing,"$32,205",31.04
827,National Bank of Oman SAOG,OM,Banking Services,"$1,310",30.95
828,Bell Equipment Ltd,ZA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",$219,30.67
828,SICO BSC C,BH,Investment Banking & Investment Services,$184,30.67
830,Com7 PCL,TH,Specialty Retailers,"$1,852",30.30
831,Raubex Group Ltd,ZA,Construction & Engineering,$465,30.18
832,GT Capital Holdings Inc,PH,Automobiles & Auto Parts,"$2,626",30.15
833,Fossal SAA,PE,Banking Services,$4,30.03
834,Aspirasi Hidup Indonesia Tbk PT,ID,Specialty Retailers,$505,29.98
835,Petronet LNG Ltd,IN,Oil & Gas Related Equipment and Services,"$4,709",29.91
836,United Breweries Ltd,IN,Beverages,"$5,796",29.78
837,Inoue Rubber Thailand PCL,TH,Automobiles & Auto Parts,$68,29.73
838,JHSF Participacoes SA,BR,Real Estate Operations,$679,29.43
839,Indofood CBP Sukses Makmur Tbk PT,ID,Food & Tobacco,"$6,787",29.30
840,MRF Ltd,IN,Automobiles & Auto Parts,"$6,723",29.27
841,Gulf Hotel Group BSC,BH,Hotels & Entertainment Services,$252,28.96
842,Vietnam Joint Stock Commercial Bank for Industry and Trade,VN,Banking Services,"$10,149",28.92
843,Merdeka Copper Gold Tbk PT,ID,Metals & Mining,"$3,427",28.67
844,Intercorp Financial Services Inc,PE,Banking Services,"$4,337",28.61
844,Capitec Bank Holdings Ltd,ZA,Banking Services,"$24,386",28.61
846,Cairo Amman Bank PSC,JO,Banking Services,$347,28.56
847,Berjaya Corporation Bhd,MY,Consumer Goods Conglomerates,$395,28.31
848,Bank of India Ltd,IN,Banking Services,"$5,903",28.29
849,Pabrik Kertas Tjiwi Kimia Tbk PT,ID,Paper & Forest Products,"$1,367",28.28
850,Kossan Rubber Industries Bhd,MY,Healthcare Equipment & Supplies,$744,28.25
851,Tower Bersama Infrastructure Tbk PT,ID,Telecommunications Services,"$2,665",28.02
852,Ser Educacional SA,BR,"Schools, Colleges & Universities",$211,27.83
853,Vantris Energy Bhd,MY,Oil & Gas Related Equipment and Services,$152,27.63
854,Eastern Polymer Group PCL,TH,Chemicals,$261,27.60
854,SBI Life Insurance Company Ltd,IN,Insurance,"$21,057",27.60
856,Lubelski Wegiel Bogdanka SA,PL,Coal,$221,27.50
857,Andino Investment Holding SAA,PE,Freight & Logistics Services,$114,27.40
858,Bangkok Expressway and Metro PCL,TH,Transport Infrastructure,"$2,572",27.28
859,Siam Global House PCL,TH,Specialty Retailers,"$1,051",27.25
860,Ramco Cements Limited,IN,Construction Materials,"$2,876",27.09
861,Indah Kiat Pulp & Paper Tbk PT,ID,Paper & Forest Products,"$2,688",26.89
862,Sify Technologies Ltd,IN,Telecommunications Services,$615,26.78
863,Vukile Property Fund Ltd,ZA,Residential & Commercial REITs,"$1,465",26.75
864,Synnex (Thailand) PCL,TH,"Computers, Phones & Household Electronics",$327,26.73
865,Yatra Online Inc,IN,Hotels & Entertainment Services,$77,26.72
866,Bajaj Auto Ltd,IN,Automobiles & Auto Parts,"$26,293",26.60
867,Neurosoft Software Production SA,GR,Software & IT Services,$18,26.23
868,MBM Resources Bhd,MY,Automobiles & Auto Parts,$440,26.20
869,Rossi Residencial SA - em Recuperacao Judicial,BR,Real Estate Operations,$7,26.13
870,Singer Thailand PCL,TH,Household Goods,$145,26.02
871,MAHLE Metal Leve SA,BR,Automobiles & Auto Parts,$686,26.00
872,CD Projekt SA,PL,Software & IT Services,"$6,995",25.97
873,Anel Elektrik Proje Taahhut ve Ticaret AS,TR,Construction & Engineering,$136,25.92
874,Eczacibasi Yatirim Holding Ortakligi AS,TR,Investment Holding Companies,$595,25.77
874,Mutandis SCA,MA,Personal & Household Products & Services,$294,25.77
876,Blue Label Telecoms Ltd,ZA,Telecommunications Services,$843,25.58
877,Becle SAB de CV,MX,Beverages,"$4,526",25.47
878,Halk Gayrimenkul Yatirim Ortakligi AS,TR,Real Estate Operations,$371,25.44
879,Iguatemi Empresa de Shopping Centers SA,BR,Real Estate Operations,"$1,042",25.40
880,Gudang Garam Tbk PT,ID,Food & Tobacco,"$1,025",25.39
881,YSP Southeast Asia Holding Bhd,MY,Pharmaceuticals,$72,25.33
882,Asia Aviation PCL,TH,Passenger Transportation Services,$508,25.23
883,Jasmine International PCL,TH,Telecommunications Services,$402,25.03
884,Magnum Bhd,MY,Hotels & Entertainment Services,$452,25.01
885,Arab Potash Company PLC,JO,Chemicals,"$3,789",24.91
886,Marcopolo SA,BR,Automobiles & Auto Parts,"$1,739",24.87
887,TPI Polene Power PCL,TH,Electric Utilities & IPPs,$607,24.76
888,EZ TEC Empreendimentos e Participacoes SA,BR,Real Estate Operations,$593,24.61
889,Nirvana Development PCL,TH,Real Estate Operations,$53,24.56
890,StealthGas Inc,GR,Oil & Gas Related Equipment and Services,$250,24.54
891,Grupo Carso SAB de CV,MX,Consumer Goods Conglomerates,"$15,575",24.53
892,Banco ABC Brasil SA,BR,Banking Services,$490,24.52
893,Alpargatas SA,BR,Textiles & Apparel,"$1,171",24.29
894,Bajaj Finance Ltd,IN,Banking Services,"$60,999",24.18
895,WNS (Holdings) Ltd,IN,Professional & Commercial Services,"$3,225",24.06
896,FPT Digital Retail JSC,VN,Specialty Retailers,$962,23.47
897,Masan Group Corp,VN,Food & Tobacco,"$4,977",23.20
898,PCS Machine Group Holding PCL,TH,Automobiles & Auto Parts,$154,23.08
899,Development Investment Construction JSC,VN,Real Estate Operations,$596,23.07
900,Galata Wind Enerji Anonim Sirket,TR,Electric Utilities & IPPs,$352,22.99
901,San Miguel Corp,PH,Consumer Goods Conglomerates,"$3,183",22.81
902,Major Cineplex Group PCL,TH,Hotels & Entertainment Services,$206,22.74
903,Koza Altin Isletmeleri AS,TR,Metals & Mining,"$1,844",22.71
904,Adani Energy Solutions Ltd,IN,Electric Utilities & IPPs,"$10,784",22.61
905,KNM Group Bhd,MY,Oil & Gas Related Equipment and Services,$24,22.31
905,MakeMyTrip Ltd,IN,Hotels & Entertainment Services,"$9,096",22.31
907,Hoang Anh Gia Lai JSC,VN,Food & Tobacco,$653,22.20
908,CVC Brasil Operadora e Agencia de Viagens SA,BR,Hotels & Entertainment Services,$202,22.19
909,OUTsurance Group Ltd,ZA,Insurance,"$6,598",22.07
910,Emlak Konut Gayrimenkul Yatirim Ortakligi AS,TR,Real Estate Operations,"$1,847",22.05
911,Grendene SA,BR,Textiles & Apparel,$867,22.03
912,Kinhbac City Development Holding Corp,VN,Real Estate Operations,"$1,213",22.01
913,Carabao Group PCL,TH,Beverages,"$1,729",21.91
914,Khaleeji Bank BSC,BH,Banking Services,$255,21.83
915,Asian Sea Corporation PCL,TH,Food & Tobacco,$186,21.69
916,Regional Container Lines PCL,TH,Freight & Logistics Services,$774,21.61
917,CSC Steel Holdings Bhd,MY,Metals & Mining,$95,21.48
918,Octodec Investments Ltd,ZA,Residential & Commercial REITs,$164,21.40
919,Khang Dien House Trading and Investment JSC,VN,Real Estate Operations,"$1,548",21.33
919,Premier Marketing PCL,TH,Food & Drug Retailing,$207,21.33
921,Charoen Pokphand Indonesia Tbk PT,ID,Food & Tobacco,"$4,512",20.98
922,R&B Food Supply PCL,TH,Food & Tobacco,$235,20.95
922,Oman Telecommunications Company SAOG,OM,Telecommunications Services,"$1,791",20.95
924,Opus Global Nyrt,HU,Consumer Goods Conglomerates,"$1,209",20.91
925,Notion VTec Bhd,MY,"Computers, Phones & Household Electronics",$70,20.80
926,Sembcorp Salalah Power and Water Company SAOG,OM,Electric Utilities & IPPs,$437,20.59
927,NCC Ltd,IN,Construction & Engineering,"$1,596",20.15
928,Prio SA,BR,Oil & Gas,"$6,454",20.09
929,Prima Marine PCL,TH,Oil & Gas Related Equipment and Services,$502,19.95
930,Label Vie SA,MA,Food & Drug Retailing,"$1,586",19.74
931,Siamgas and Petrochemicals PCL,TH,Oil & Gas Related Equipment and Services,$377,19.63
932,NR Instant Produce PCL,TH,Food & Tobacco,$30,19.60
933,AP Thailand PCL,TH,Real Estate Operations,$743,19.32
934,Gelex Group JSC,VN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$1,925",19.17
935,Impact Developer & Contractor SA,RO,Real Estate Operations,"$2,401",18.80
936,Borusan Yatirim ve Pazarlama AS,TR,Metals & Mining,"$1,569",18.46
937,Vinhomes JSC,VN,Real Estate Operations,"$14,555",18.14
938,Intracom Holdings SA,GR,Consumer Goods Conglomerates,$344,18.10
939,Diana Shipping Inc,GR,Freight & Logistics Services,$182,18.05
940,Omani Qatari Telecommunications Company SAOG,OM,Telecommunications Services,$430,17.98
941,RMB Holdings Ltd,ZA,Real Estate Operations,$32,17.78
942,Brimstone Investment Corporation Ltd,ZA,Food & Tobacco,$70,17.70
943,PDG Realty SA Empreendimentos e Participacoes,BR,Investment Holding Companies,$1,17.14
944,Bradespar SA,BR,Metals & Mining,"$1,146",17.05
945,Able Global Bhd,MY,Food & Tobacco,$115,17.03
946,Metrodata Electronics Tbk PT,ID,Software & IT Services,$445,16.95
947,Hosken Consolidated Investments Ltd,ZA,Consumer Goods Conglomerates,$625,16.78
948,Tomypak Holdings Bhd,MY,Containers & Packaging,$28,16.74
949,Compania Minera San Ignacio de Morococha SAA,PE,Metals & Mining,$36,16.61
950,Indraprastha Gas Ltd,IN,Natural Gas Utilities,"$3,298",16.56
951,Media Nusantara Citra Tbk PT,ID,Media & Publishing,$244,16.54
952,Alarko Holding AS,TR,Consumer Goods Conglomerates,$989,16.09
953,Even Construtora e Incorporadora SA,BR,Real Estate Operations,$260,15.83
954,Verusa Holding AS,TR,Chemicals,$663,15.38
955,Promotora y Operadora de Infraestructura SAB de CV,MX,Transport Infrastructure,"$5,397",15.32
956,Guararapes Confeccoes SA,BR,Specialty Retailers,$764,15.10
957,Bahrain Commercial Facilities Co BSC,BH,Banking Services,$125,15.06
958,Quantum Clovera Investama Tbk PT,ID,Software & IT Services,$12,15.00
959,Ahli Bank SAOG,OM,Banking Services,"$1,041",14.98
960,Grupo Financiero Inbursa SAB de CV,MX,Banking Services,"$16,438",14.89
961,Zamp SA,BR,Hotels & Entertainment Services,$262,14.02
962,Companhia de Saneamento de Minas Gerais COPASA MG,BR,Water & Related Utilities,"$1,846",13.95
963,Hidrovias do Brasil SA,BR,Freight & Logistics Services,$907,13.91
964,Sohar International Bank SAOG,OM,Banking Services,"$2,373",13.76
965,Raysut Cement Company SAOG,OM,Construction Materials,$48,13.55
966,Construtora Tenda S/A,BR,Real Estate Operations,$480,12.91
967,Super Energy Corporation PCL,TH,Electric Utilities & IPPs,$135,12.85
968,Bahrain Kuwait Insurance Company BSC,BH,Insurance,$149,12.48
969,Bahrain Duty Free Shop Complex BSC,BH,Transport Infrastructure,$154,12.40
970,Bangkok Chain Hospital PCL,TH,Healthcare Providers & Services,"$1,124",12.31
971,Banco Pan SA,BR,Banking Services,$923,11.99
972,Invicta Holdings Ltd,ZA,Diversified Industrial Goods Wholesale,$178,11.60
973,JMT Network Services PCL,TH,Banking Services,$541,11.56
974,Holding Company ADMIE IPTO SA,GR,Electric Utilities & IPPs,$937,11.27
975,CESC Ltd,IN,Electric Utilities & IPPs,"$2,487",10.84
976,Srisawad Corporation PCL,TH,Banking Services,"$1,164",10.64
977,Dis-Chem Pharmacies Ltd,ZA,Food & Drug Retailing,"$1,559",10.31
978,Megacable Holdings SAB de CV,MX,Telecommunications Services,"$2,408",10.08
979,Link Net Tbk PT,ID,Telecommunications Services,$340,9.72
980,Ajiya Bhd,MY,Homebuilding & Construction Supplies,$153,9.47
981,Safwa Islamic Bank PSC,JO,Banking Services,$485,9.36
982,Technical Olympic SA,GR,Freight & Logistics Services,$127,9.29
983,Unitech Ltd,IN,Real Estate Operations,$221,9.23
984,Inovest BSC Public,BH,Real Estate Operations,$158,9.19
985,Direcional Engenharia SA,BR,Real Estate Operations,"$1,348",8.92
986,Luz del Sur SAA,PE,Electric Utilities & IPPs,"$1,664",8.71
987,Viet Nam Construction and Import Export Joint Stock Corp,VN,Construction & Engineering,$660,8.65
988,Zeder Investments Ltd,ZA,Investment Banking & Investment Services,$120,8.46
989,Steppe Cement Ltd,MY,Construction Materials,$53,7.19
990,Hoa Phat Group JSC,VN,Metals & Mining,"$8,218",6.74
991,Grand Parade Investments Ltd,ZA,Investment Banking & Investment Services,$64,6.31
992,Casa Grande SAA,PE,Food & Tobacco,$251,6.30
993,Koza Anadolu Metal Madencilik Isletmeleri AS,TR,Metals & Mining,$683,6.19
994,Empresa Agroindustrial Pomalca SAA,PE,Food & Tobacco,$20,5.48
995,Dat Xanh Group JSC,VN,Real Estate Operations,$839,5.05
996,Masterplast Nyrt,HU,Homebuilding & Construction Supplies,$159,4.88
997,Douja Promotion Groupe Addoha SA,MA,Real Estate Operations,"$1,814",4.77
998,Camil Alimentos SA,BR,Food & Tobacco,$295,4.16
999,United Gulf Investment Corporation BSC,BH,Metals & Mining,$20,3.97
1000,Selcuk Ecza Deposu Ticaret ve Sanayi AS,TR,Pharmaceuticals,"$1,450",2.74
1001,Bank of Greece,GR,Banking Services,$359,2.62
1002,Industrias CH SAB de CV,MX,Metals & Mining,"$3,985",2.42
1003,T S Flour Mill PCL,TH,Food & Tobacco,$27,2.15
