Rank,Company Name,HQ,Industry Group,Mkt. Cap (M),ESG Score
123,BRD Groupe Societe Generale SA,RO,Banking Services,"$3,184",73.19
124,Life Healthcare Group Holdings Ltd,ZA,Healthcare Providers & Services,"$1,160",73.07
125,Grupo Nutresa SA,CO,Food & Tobacco,"$14,709",73.03
127,HDFC Bank Ltd,IN,Banking Services,"$173,528",72.94
128,Pruksa Holding PCL,TH,Real Estate Operations,$303,72.86
129,Turkiye Sise ve Cam Fabrikalari AS,TR,Consumer Goods Conglomerates,"$2,947",72.79
130,Yapi ve Kredi Bankasi AS,TR,Banking Services,"$6,902",72.78
131,SM Prime Holdings Inc,PH,Real Estate Operations,"$12,079",72.68
132,Investec Ltd,ZA,Investment Banking & Investment Services,"$6,981",72.58
133,Aneka Tambang Tbk PT,ID,Metals & Mining,"$4,295",72.52
134,Vedanta Ltd,IN,Metals & Mining,"$19,564",72.45
134,Jasa Marga (Persero) Tbk PT,ID,Transport Infrastructure,"$1,605",72.45
136,Bank Rakyat Indonesia (Persero) Tbk PT,ID,Banking Services,"$37,603",72.37
137,ITC Ltd,IN,Food & Tobacco,"$59,219",72.34
138,Reliance Industries Ltd,IN,Oil & Gas,"$213,619",72.25
138,Nestle India Ltd,IN,Food & Tobacco,"$24,150",72.25
140,Bumi Armada Bhd,MY,Oil & Gas Related Equipment and Services,$554,72.24
141,Cipla Ltd,IN,Pharmaceuticals,"$14,396",72.17
142,Sime Darby Property Bhd,MY,Real Estate Operations,"$2,477",72.13
143,Indusind Bank Ltd,IN,Banking Services,"$6,880",72.07
144,Almacenes Exito SA,CO,Food & Drug Retailing,"$1,090",72.04
145,Banca Transilvania SA,RO,Banking Services,"$7,222",71.80
146,Electricity Generating PCL,TH,Electric Utilities & IPPs,"$1,837",71.78
146,Eregli Demir ve Celik Fabrikalari TAS,TR,Metals & Mining,"$4,791",71.78
148,Truworths International Ltd,ZA,Specialty Retailers,"$1,612",71.70
149,Cementos Pacasmayo SAA,PE,Construction Materials,$566,71.65
149,Akcansa Cimento Sanayi ve Ticaret AS,TR,Construction Materials,$651,71.65
151,Barloworld Ltd,ZA,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$1,265",71.64
152,ACC Ltd,IN,Construction Materials,"$3,830",71.63
153,Impala Platinum Holdings Ltd,ZA,Metals & Mining,"$8,719",71.61
154,Biocon Ltd,IN,Biotechnology & Medical Research,"$5,489",71.53
155,Bangchak Corporation PCL,TH,Oil & Gas,"$1,435",71.50
156,Advanced Info Service PCL,TH,Telecommunications Services,"$27,639",71.21
157,Hanjaya Mandala Sampoerna Tbk PT,ID,Food & Tobacco,"$3,894",71.20
158,Indorama Ventures PCL,TH,Chemicals,"$3,987",71.14
159,Turk Traktor ve Ziraat Makineleri AS,TR,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$1,507",71.10
160,Turk Telekomunikasyon AS,TR,Telecommunications Services,"$4,979",71.00
161,Vibra Energia SA,BR,Oil & Gas,"$4,394",70.95
162,Metalurgica Gerdau SA,BR,Metals & Mining,"$1,683",70.88
162,Harmony Gold Mining Company Ltd,ZA,Metals & Mining,"$9,915",70.88
164,Akbank TAS,TR,Banking Services,"$8,732",70.87
165,Anadolu Anonim Turk Sigorta Sti,TR,Insurance,"$1,137",70.81
166,Charoen Pokphand Foods PCL,TH,Food & Tobacco,"$6,125",70.74
167,Vesta Real Estate Corporation SAB de CV,MX,Real Estate Operations,"$2,554",70.39
168,Anadolu Efes Biracilik ve Malt Sanayii AS,TR,Beverages,"$2,496",70.17
169,Turkiye Vakiflar Bankasi TAO,TR,Banking Services,"$6,675",70.11
170,Natura Cosmeticos SA,BR,Personal & Household Products & Services,"$2,227",70.09
171,Page Industries Ltd,IN,Textiles & Apparel,"$5,543",70.08
172,Athens Water Supply and Sewerage Company SA,GR,Water & Related Utilities,$920,70.02
173,Kalbe Farma Tbk PT,ID,Pharmaceuticals,"$4,026",69.98
174,BIM Birlesik Magazalar AS,TR,Diversified Retail,"$7,739",69.89
175,Hypera SA,BR,Pharmaceuticals,"$2,690",69.82
176,Alpha Bank SA,GR,Banking Services,"$9,637",69.78
177,Axiata Group Bhd,MY,Telecommunications Services,"$5,866",69.75
178,Tofas Turk Otomobil Fabrikasi AS,TR,Automobiles & Auto Parts,"$2,911",69.45
179,MISC Bhd,MY,Transport Infrastructure,"$8,172",69.44
180,Companhia Brasileira de Distribuicao SA,BR,Food & Drug Retailing,$246,69.43
181,Old Mutual Ltd,ZA,Insurance,"$3,412",69.41
182,Turkiye Halk Bankasi AS,TR,Banking Services,"$4,805",69.23
183,Siemens Ltd,IN,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$12,811",69.22
184,Zorlu Enerji Elektrik Uretim AS,TR,Electric Utilities & IPPs,$409,69.00
185,Ecopetrol SA,CO,Oil & Gas,"$17,975",68.99
186,Corporacion Aceros Arequipa SA,PE,Metals & Mining,$495,68.86
187,Americanas SA - Em Recuperacao Judicial,BR,Diversified Retail,$195,68.80
188,Genomma Lab Internacional SAB de CV,MX,Pharmaceuticals,"$1,205",68.74
189,Vodacom Group Ltd,ZA,Telecommunications Services,"$16,726",68.66
190,Vestel Beyaz Esya Sanayi ve Ticaret AS,TR,Household Goods,$407,68.64
190,OMV Petrom SA,RO,Oil & Gas,"$12,345",68.64
192,No Va Land Investment Group Corp,VN,Real Estate Operations,"$1,371",68.58
193,Grupo Televisa SAB,MX,Media & Publishing,"$1,194",68.51
194,DLF Ltd,IN,Real Estate Operations,"$21,412",68.49
195,Fomento Economico Mexicano SAB de CV,MX,Food & Drug Retailing,"$28,389",68.27
196,Tekfen Holding AS,TR,Construction & Engineering,$906,68.13
197,Bank of Ayudhya PCL,TH,Banking Services,"$5,382",68.10
198,RBL Bank Ltd,IN,Banking Services,"$1,772",67.97
199,Vietnam Dairy Products JSC,VN,Food & Tobacco,"$4,866",67.94
200,CCC SA,PL,Specialty Retailers,"$3,492",67.85
201,CSN Mineracao SA,BR,Metals & Mining,"$4,979",67.75
202,Ecorodovias Infraestrutura e Logistica SA,BR,Transport Infrastructure,$914,67.72
202,Aenza SAA,PE,Construction & Engineering,$194,67.72
204,Oceana Group Ltd,ZA,Food & Tobacco,$390,67.64
204,TISCO Financial Group PCL,TH,Banking Services,"$2,521",67.64
206,MOL Magyar Olaj es Gazipari Nyrt,HU,Oil & Gas,"$7,258",67.55
207,Kiatnakin Phatra Bank PCL,TH,Banking Services,"$1,510",67.53
208,IHH Healthcare Bhd,MY,Healthcare Providers & Services,"$14,441",67.47
209,S P Setia Bhd,MY,Real Estate Operations,"$1,290",67.36
210,African Rainbow Minerals Ltd,ZA,Metals & Mining,"$2,348",67.35
211,Foschini Group Ltd,ZA,Specialty Retailers,"$2,053",67.32
212,Bolsa de Valores de Colombia SA,CO,Investment Banking & Investment Services,$187,67.27
213,Aditya Birla Fashion and Retail Ltd,IN,Specialty Retailers,"$1,037",67.26
214,Jubilant Foodworks Ltd,IN,Hotels & Entertainment Services,"$4,804",67.18
215,Coca-Cola Femsa SAB de CV,MX,Beverages,"$17,937",67.17
